sentiment,labels
blum jg beneran capres anies sdh lawan tangguh merepotkan gimana beneran capres pendukung produksi fitnah hoax seru,negative
deklarasi dukungan sembako kalo buzzerp cebong penggembira penguasa masuk pelanggaran pemilu nggak yaterus emangnya nggak butuh dana yadananya darimana kalo nggak yg usung rugi,negative
kades fokus kerja urus desa terpengaruh isu pemilu,neutral
hebat contoh pemilu undur gmn nih udah begah ruweeeet nya,negative
ganjar yg terhormat mendukung presiden,positive
bangun narasi sebagus biar rakyat gak sadar kalo bangunan dibangun runtuh sekejap diresmikan calon presiden berbohong tujuan tercapai,negative
hati rakyat majul pilpres,positive
setuju dah gw jenderal andika layak presiden nya pilpres pengen banget jendral andika berlaga retorika berdebat berdoa pilpres diselenggarakan,positive
kaos aja mukanya asem presiden maaf kl ganjar mending prabowo yg turunan yaman,negative
nyapres hak warga negara nyapres prabowo nafsu nyapres yg kalinya bangsa negarawan penasehat presiden,negative
pantes yg nggak setuju beliau presiden pastinya golongan yg suka nilep uang rakyat,negative
prabowo beda fadli zong prabowo menteri mantan capres indonesia zong jubir teroris,negative
mantaps anies baswedan mata terbuka mengapresiasi kinerja beliau semoga anies berkibar maju capres terpilih dlm pilpres,positive
mancla mencle pendirian kalo presiden ora apik rakyatnya rezim bangsat guwe dukung noh,negative
pilkada dki jkt jokowi dibesarkan pd pilpres berhadapan prabowo vs jokowi hasilnya x prabowo terpaksa hrs terima kekalahan prabowo bertarung dgn capres yg usung jokowi,neutral
ealah ya sikut zaman tim capres yg terbaik khusluk ta dibalas ae dgn prestasi ya,neutral
udah gk jaman pakai presiden lgi skrang,negative
panjenengan layak presiden menggantikan jokowi,positive
la iya ya ki lurah bgt beraninya mo capresngurusin wilayah gak prestasinya mo ngurus negara khawatir gp president rakyatnya wajibkan nonton bokep,negative
lucu sih presiden samain mantan gubernur dasar otak cebong dengkul,negative
top nih capres prabowo digabungkan cawapres manapun pilihan masyarakat cawapresnya prabowo teratas unggul kerjanya,positive
oh mendadak kadrun suara pemilu,negative
min jokowi udah selesai dgn periode jabatannya narasi hoax fitnah nkebencianmu disetiap twitmu sebenernya sih ngangkat prestasi junjunganmu itupun kalo bersaing dgn,negative
dikuasai rezim rakyat tdk pilihan tdk dgn yg pelaksanaan pilpres th rakyat yg menentukan pilihan,neutral
rambut no problem hitam putih nelson mandela rambut putih mimpin rakyat ganjar,positive
antusiasme kaum muda usia berpartisipasi pemilu dinilai antusiasme,neutral
pilpres lari nya emang lu tau gw milih sapa otak dangkaldikit pilpreslagak orang pintar ja kau,negative
dukung ganjar presiden,positive
untungnya mncari tukang bangunan mncari calon presiden yg ahli strategi ahli negosiasi ahli koordinasi kandidat yg layak diperhitungkan,positive
ane percaya dgn ucapan uas anya orang iri amp dengki yg memperolok ucapan uasini hubungan kali pilpres prabowo yg memenangkan dlm pemilu tsb sayang nya kali dicurangi bungkamhal dimanfaatkan cebong utk menjungkalkan kebenaran mimpi uas,negative
haaaaaa tolak d halus presiden nis nis dah pengangguran aj rawat burung d rumah iya nga,negative
aslkmpak prabowo pendukung prabowomaju capres warga menes bantensiap mendukung prabowo,positive
hai capres cawapres silahkan branding trus jgn pakai dana apbnapbd team kreatif minimal orang asnkontrak biaya merekaedit upload mlototin likelike suscribeapbnapbd bkn,neutral
anying presiden ngpa tag,negative
relawan sepenuh hati memenangkan prabowo subianto presiden ri pemilu,positive
alasan loyalis perempuan dukung ganjar pranowo presiden pilih makan bekal istrinya alasan yg loyalitas perempuan memilih presiden,neutral
partai nyungsepz capres ga laku koalisi ga da yg pantes riweh tolak presidential threshold setuju,negative
yg ngarepin jabatan nih pergantian presiden indonesia lwbih tolong dikasih,negative
sssttt presiden lu si mukidi ogah diganti,negative
pemilu ditunda dampaknya sederhana pendundaan pemilu kompetisi regenerasi kepemimpinan berdampak stagnasi ide berdampak terhambatnya kaderisasi partai politik,neutral
seiring dgn menguatnya dukungan rakyat kpd menteri bumn erick thohir utk maju pilpres amp suksesnya dlm bersih bumn fitnah yg beliau semangat pa erick pohon kencang anginnya,positive
njar njar ngurusin provinsi aja loe kagak becus msh ngehayal jd presiden insyaf njareling malu,negative
sekedar meramaikan perlombaan peserta mendeklarasikan sandiaga uno sukses pilpres harapan membangkitkan ekonomi masyarakat indonesia,positive
buku sialan buktinya yng bilang nilai tukar dollar rp klo jokowi presiden sangit,negative
kandidat capres yg bagus anies ridwan k yg menang sosmed aja anak titipan oligarkhi yg hy bs bentak kayak singkek,negative
penundaan pemilu rencana sistematis memanipulasi konstitusi proyek oligarki harga harga masyarakat menjerit rakyat jelata tertindas shame on you,negative
statement ngaco emang mesjid ulama mengajak umpanya jamaahnya mengangkat senjata utk lawan pemerintah kalo ajakan melawan ketidak adilan wajar pemerintah tdk adil dzalim jk mestinya jujur yg menang pilpres dagelan,negative
bersyukur presiden,neutral
semoga kesadaran mas menular keseluruh warga nkri menjelang pilpres aamiiinnn yra,positive
insyaallah semoga indonesia gelar pemilu pilpres pileg dgn jujur adil aparat negara netral polri kemendagri mk kpu bawaslu adil independen indonesia yg,positive
simbol dukungan ericj pilpres semoga kaya menteri andalan,positive
awali ucapan bismillahirrahmanirrahim sy sekeluarga mendukung pamrih mas maju pilpres,positive
mo nyalon presiden om dukung mas,neutral
koalisi yg kongkrit insyaallah menang dipemilu th,positive
semoga ganjar pranowo senantiasa perlindungan keberkahan kelancaran sang pencipta allah swt maju pilpres,positive
ekonomi meroketditandai naiknya harga minyak goreng kedelai telur daging sapi gas non subsidi publik puas az seumur hidup ga nunda pemilu wkwkwkwkwkwk,negative
kinerja menjabat menjabat menteri terbukti sukses yg dipercayakan berhasil erick thohir mendongkrak elektabilitas pasangan dlm skenario simulasi pilpres,positive
sisi komunikasi politik ekonomi sosial budaya hrus dimatangkan ditingkat global nasional lokalitas fenomena presiden menggema krn masyarakat menilai yg yg ngak membangun bangsa negara anis,positive
halusinasi partai aza tdk gmn bs jdi presiden haaaaaaaaaa haaaaaaaaaa haaaaaaaaaa,negative
alhamdulillah semoga kekuatan kemudahan kelancaran kemenangan pilpres,positive
keistimewaan twit anies apapun yg tweet trending rasaku kontennya krn nitizen nya seharunya ganjar tiru anies biar imbang pemilu krn followernya anies jt vs ganjar jt gk imbang gk seru,neutral
pemilu ditunda perangnya ditunda,neutral
anies ngak model kampanye kampung gitu mendunia ulah orang takut anies presiden,neutral
ingatkan anies suka bersilat lidah omongannya gk dipegang prabowo jd capres anies gk jd capres,negative
jadwalnya udah aja,neutral
semoga kelak pemimpin negeri lbh komplet mas wakilnya arah bangsa gitu aja sih harapanku,positive
saran ketum parpol sepakat tokoh elektabilitas sprti jadikan capres setuju caprenya ketum parpol sprti,neutral
pemilu diundur pandemi amp krisis ekonomi yg depannya tes terbaik kandidat,neutral
bungul ngehoax gayaan daulat jd tokoh memperbaiki kwalitas pendidikan lawong angka putus sekolah jateng aja th sok ngomongin mutu prettt ganjar gak prestasi banggain koplak,negative
parah menjelang pemilu calon berlomba tampil bermuslim tp aib kebringasan dipertontonkan yg mulia yg yg berkaitan dgn allah seminim tdk publish amp halnya aib yg suka lihat bokep,negative
partainya dah gak laku jual ketua dah gak layak bertanding kontestasi politik akibat tersandra pelbagai setuju penundaan pemilu sesuai maklumat lord menteri urusan,negative
fungsi presidential threshold salah satunya menstabilkan pemerintahan presiden,neutral
tandanya pilpres sdh,neutral
jelang pilpres serang yg kalah kebingungan dihalalkan contoh yg pertontonkan presiden jokowi yg menggiring rakyat nya memilih capres,negative
bagusnya king maker kayak megawati menang jabatan megawati diborong plus gelar profesor hc dibuli capres sejati ya,negative
mentok pembantu presiden gitu ya,negative
presiden orang indonesia asli,negative
wih mantep nih semoga banyaknya dukungan ganjar pranowo ganjar pranowo maju pilpres,positive
pakar yg berbicara mengerti visi arah kepemimpinan bangsa yg ragu memilih mendukung capres ri melanjutkan kebijakan pembangunan presiden,positive
ganjar afdol presiden klu gak percaya ayo coblos nama h nya,positive
kali berjuang memenangkan pilpres atmosfernya menguap momentum memulihkan reputasi to be the king maker not a player,neutral
dipilih jalur demokrasi durhaka kacanh lupa kulit demokrasi diperjuangkan nyawa darah,neutral
kalo lu presiden rumah nenek mega aja yg lu renovasi wkwkwkw bokep bokep kelakuan,negative
pendukung menjelekan capres black campaign membully capres gak walopun berita negatif capres sdh google tp gak usahlah angkat menyerang fokus sj dg capres contoh berita,neutral
penolakan prinsip dikehendaki bangsa bangsa sepakat jabatan presiden maksimal periode periode,neutral
urusin kasusmu min kardus durianpartai suara jatah capres min ngimpi kali min,negative
kayanya baca literasi syarat presiden lungerti syarat presiden ri perbanyak literasi bunyi bro malu lu pengetahuan seupil sok tau sok mengolok olok orang,negative
selamat semoga bertahan bacapres pemilu,positive
capres bokep mania,negative
otak mesum bahaya kalo presiden ngikutin jejak proklamator,negative
kesian ya modal pencitraan kosong,negative
setuju ajakalau kalah siapun presiden perbolehkan pilpres kalimau,neutral
ditakdirkan jd presiden ri tolong orang dikasih jabatan,neutral
ya demonya,neutral
saking takutnya ganjar presiden kali bang memainkan isu cuy,negative
insyalloh anis maju presiden indonesia,positive
mohon maaf ngg dulukrn blm maju tdku pilpres nunggu calon u yg tu ggu pilihan yg lainu pembanding maaf,neutral
mempertahankan rumahtangga ngak menertibkan fadly zon ngak presiden ya mbok mikir wo,negative
capres pujaan buzzerp bedak polesannya luntur,negative
untungnya mncari tukang bangunan mncari calon presiden yg ahli strategi ahli negosiasi ahli koordinasi kandidat yg layak diperhitungkan,positive
mantap ganjar nyalon presiden ni,neutral
semoga allah swt kemudahan kelancaran bpk dlm ajang pilpres aamiin ya robbal aalamiin,positive
hadapi depanmu pendekar hadapi depanmu ragu ragu ragu ragu berhasil prabowo,positive
semoga ahy berdampingan aniesr b pilpres,positive
dukung presiden ri,positive
iyalah yg dukung jokowi persen emang milih wan got gk yg milih ahok pertamina aja lu kelojotan gimana jd presiden lu mampus berjamaah kali lu,negative
benarbahkan seandainya karno hidup yg sanggup mengimbangi capres prestasi beliouw yg fenomenal adlh anies sanggup menggelontorkan apbd rp triliun kpd ormas minjam dana rp formula e,negative
semoga kesempatan liputan bola jakarta jis amp menikmati fasilitas jakarta mohon maaf kampanye nyapres klopun nyapres ya monggoooo,positive
pilih presiden boneka presiden jongos oligarki,negative
bpk km relawan sobat anies milenial bahu membahu mengawal bpk anies baswedan pilpres yg jurdil in sya allah semoga allah swt keberkahan aamiin,positive
nggak risih ya mainnya rasis gini cucu pahlawan nasional bro,negative
ga viral ga ditanggapi ganjar mah nyari pencitraan biar presiden,negative
terbesar jaminan proyek dilanjut pemenang pilpres penyebab gonjang ganjing merubah konstitusi,neutral
maju anis sukses pilpres,positive
bismillahirrohmannirrohim warga jawa barat mendukung memilih mas mentri bumn erick thohir capres pilpres dukungan mengalir deras terbendung dr lapisan masyarakat kali masyarakat jawa barat,positive
wayang ga nyawanya lu belain warga wadas manusia bernayawa dipersekusi mingkem njar njar gini mo presiden dpr congo aja lu mendingan,negative
ikutan doang,neutral
sambut damai,neutral
semoga kabar baiknya yaa mari kawal ganjar pemimpin memenangkan pilpres butuh sosok pemimpin ganjar,positive
ckup jd bangsa sj ckup dah bbrp kali gagal jd presiden lbh elok mendukung jd capres sy ktka grndra dmkrat pks nasdem gabung d rakyat ttp simpati kpd,neutral
rakyat indonesia sdh matang dlm menentukan sikap semoga tdk rekayasa kpu pilpres,positive
emang presiden yg pilih pemilih partai nya aja pdip ganjar,negative
cepat ya indo jeda nya banget pilpres sampe pelantikan,neutral
klo dilego utk kota ya gak jgn dilego utk biaya pemilu pilpres,neutral
nya bergelora masuk pilpres nie nya kpu tuntas menyelesaikan tugas nya start kampanye,negative
presidennya petugas momong anak banteng nnnnnooooooooooooooooooo vote golput ajja,negative
berat menetapkan diidamkan presiden surveinya median n marbun hmmmm top ya ya ya ya jelang politik,neutral
pwnu jatim rekomendasikan pemilu digelar,neutral
setuju aja sih capreswapresnya airlanggahehe,positive
proses pencalonan min mohon doanya ya semoga pilpres bsk lancar jaya,positive
pengen banget nagih janji orng yg bertopeng kadrun pemilu janji gak import janji gk nambah utang janji gk kekuasaan janji ekonomi diatas janji rb tril janji harga murah janji asemca kangen demo,negative
indonesia jatuh tangan salah ikuti akun twitter mendukung presiden ri,positive
udah pantes bgt presiden nih,positive
menghalalkan jd gubernur maaf dki jd presiden,negative
maaf menggambarkan aspirasi rakyat pasangan prabowo ganjar pilpres,neutral
partai rela atur capres give away,negative
wasis aksi sindir partai membangun kultur demokrasi sehat kritik kritik bersifat personal,neutral
muak banget liat gini muncul menjelang pemilu sya warga jateng bjorka gak usulnya trims,negative
isu bodoh azan disandingkan gonggongan anjing pilpres ditunda semau,neutral
semoga keunggulan simulasi sesuai keunggulan pilpres maju pilpres,positive
dikit nyoblos ygy,neutral
mas biidznillah jd presiden ri dituliskan harapan masyarakat tl,neutral
pencapresan subianto ketum gerindra mencalonkan kehendak kader partai mencalonkan beliau orang nomor indonesia,neutral
politik identitas hilang pemilu,positive
yg terhormat yg hormati biarpun hormati kewajiban menghormati menghormati keputusan capres yg dukung matikan bergabung pemerintahan,negative
disegerakan pilpres turun jabatan presiden hak alam demokrasi makar,neutral
hahaha model gini caprespusing gueayo memimpin negeri inijangan undur pilpres,negative
insyaallah prabowo presiden tuk amin,positive
ckup aja ga ngebantah ga gub jokowi yg ditengah jalan nyalon presiden,negative
ganjarpranowo hati hati blunder elektabilitas turun susah nyalon presiden paksa kontennya,neutral
pimpin jateng kinerja dibocorkan warganya presiden knp dmikian krna beliau bener maksimal dlm melayani wargarakyat pemimpinyg embannya ya layak,positive
nyapres emang partai minimal capres ketum partaiklu gak kader partai dpt jatah nyapres duit gak punyapartai gak gablekklupun partai dukung partai tolol,negative
aamiin ya rabb semoga mas ahy berpasangan om pilpres ya pelaku usaha bidang produksi bakso siaap mendukung titik darah penghabisan kabulkan ya allah,positive
yg pemilu ditundadiundur sdh jawabannya menang melawan anies baswedan dah gitu aja koktitik iya,negative
mantab semoga berlaga pilpres kerja posting an kenangan pilpres,positive
saga sahabar ganjarrrr kelompok relawan mendukung mas ganjar utk menjadii next presidenn yg dimana artinyaaa uang keluarkan berasal relawannnn nyaaaa apdb emg dasar bungulll,negative
nih lanjutkan gelombang anies baswedan hancurkan rezim laknatullah negeri nya bpk presiden ri,negative
dijilat ruhut sukses ambil positifnya aja kebiasaan om ruhut anies menang pilpres,positive
arus survei indonesia merilis hasil survei nasional terkait pilpres hasil simulasi pasangan capres duet prabowo cak imin unggul,neutral
optimis kang mendukung kang emil pilpres,positive
mendoakan semoga menang pilpres cawapresnya prabowo teratas unggul kerjanya,positive
semoga kuat jdi capres abadi ya sehat yamgkin mas nemenin ato jgn lgi,negative
setuju dg penundaan pemilu periode,neutral
perjuangkan kemenangan koalisi perubahan mengantarkan anies presiden yg,positive
pasangan ideal pilpres semoga allah swt mumudahkan prosesnya menjadikan tokoh pemimpin terbaik indonesia,positive
mantap hasil survei charta politika indonesia menilai peluang meraup suara pemilihan presiden wakil presiden,neutral
spy penggunaan apbn ugal ugalan peraturan diubah spy pilpres menang diumumkan malam,neutral
gus muhaimin pemimpin muda lokal interlokal enerjik dinamis yg butuhkan ketokohannya pemimpin melintasi menyelesaikan sensitif,positive
barangkali salah rakyat memilih langsung pilpres dkk semoga hak rakyat nkri,positive
jgn egois yg pgn rasain presiden yakan,negative
lumayanlah yg jd presiden jg,neutral
dgn pdip pdip nama capres yg dihabisi koalisi sbg pion demokrasi berjalan dgn,neutral
dibutuhkan iya tp kapasitas akademis sesuai kapasitas k ahlianny kl presiden biar nga sanggup,neutral
kreen presidenups belumpak gub digital sekedar gaya hidup kebutuhan hidup,neutral
yg presiden rakyatnya,negative
wacana penundaan pemilu kian menguat penolakan usulan mengkhawatirkan publik ketakutan pemerintahan otoriter nyata cc,neutral
sadar gak sadar alternatif condong prabowo jokowi pilpres kalo prabowo islamis anies,neutral
semoga demokrat mantap semangat dlm konsolidasinya kemenangan rakyat menyakini demokrat memenangkan pemilu memenangkan pilpres anggota simpatisan demokrat simpatisan partai,positive
elektabilitas ganjar anies teratas usung capres parpol,positive
pemimpin kelas dunia,neutral
kau tengok rekam jejak kerjamu woi kau pikir dirimu jd presiden ngimpiiii,negative
dukungan yg presiden inisiatif komunitas komunitas jaga amp bimbing rusak dgn politik identitas,neutral
semoga pilpres jujur bersih kecurangan mustahil salahnya berharap,positive
menjemput kemenang pd mengantarkan calon legeslatif senator kebun sirih dprd jakarta elektabilitas elektoral pd memuncak berjuang ahy memenangi pilpres pileg semoga hasilnya tegak lurus dgn perjuangan,positive
membawa panji panji partai mewujudkan cita cita menjadikan presiden partai gerindra menang pemilu,positive
paslon capres terkuat pd pilpres ganjar ahok,positive
ya deh yg suka capres suka filmcabuldi wariskan aja kesukannya anak istri yak,negative
setuju ah mesin politiknya mendorong anies rk capres cawapres maksud bersinergi berkolaborasinya,neutral
mendukung bpk presiden ri pengamatan jendral andika ditetapkan presiden ri istrinya istri presiden presiden nya penampilan utamanya penutup kepala mohon maklum tks,neutral
masyarakat jakarta bangga gubernurnya semoga masyarakat indonesia bangga presidennya terimakasih goodbener,positive
beda dgn kaos anies presiden pilpres th anies nyungsep tdk menang rakyat indonesia tdk dipimpin presiden orang arab hadramaut kaosnya langsung dijadikan lap sepatu yg pakai,negative
survey litbang kompas masyarakat puas kinerja pemerintah parpol pdip gerindra demokrat capres uzzer bingung survey menujukkan kinerja memuaskan favorit capres,neutral
merubahnya parpol duduki jabatan strategis parpol menangkan pemilu melaui parpolmu ubah parlemen alurnya,neutral
joss penerus terbaik presiden,positive
jk jg bulat usung duet tp mustahil jk parpol usung cawapres parpol nya eforia bagus bulat usung anies capres cawapresnya,neutral
cak imin menyapa prabowo sebutan calon presiden capres,neutral
usaha kesan kalo berkawan dng orang yg keburukannya terbongkar biar dianggap olah kejahatannya kejahatan buruk setnov poto dr presiden senator pngsha dll mrk koruptor,neutral
yg sanggup menerapkan keadilan bidang penegakkan hukum wajib dukung pilih presiden ri memilih capres yg percaya firman allah swt,neutral
stop rampas rakyat,neutral
puan maharani berharap presiden perempuan karpet merah puan maharani dinilai unjuk gigi maju pilpres,neutral
kalimat si presiden banjir semarang diatasi ampun deh,negative
gubernur yg tdk mndptkan wtp presiden bgmn dg gubernur yg sllu panen wtp smakin berpeluang krn wtp mrpkan barometer seorg pemimpin dlm mengelola keuangan negara mmg ok,positive
presiden orang jawa rasis namanya,negative
amp paslon capres top seng gak terkalahkan,positive
pilpres hasil riil kekurangan publis kaga kekurangan,neutral
polarisasi pilpres keras brutal perang pendukung semoga kesadaran pendukung wajar,positive
ganjar sehat sehat yaa semoga maju pilpres,positive
rakyat tokoh masyarakat mengawal pemilu pilpres persiap siagakan menjunjung mengawal demokrasi konstitusi yg membegalnya sikat,neutral
klo prabowo bersedia barpasangan anies capres wapres dahsatnya,positive
dokter terawan berkarir ln drpd indonesia kontribusi keilmuan beliau dihargai butuh perhatian presiden menhan presiden,neutral
berat pasca pilpres presidennya rakyat miskin sesuai pbi bpjs kes gt jt angka stunting pemerataan pddkan murahamp bermutu iklim ketenaga kerjaan perumahan mkn sulit dikota krn property dipakai sbg investasi stop tka,neutral
ha ha presidennya ludruk,negative
citaku semoga presiden thdap kelompok kadrun perusak agama islam,negative
pasangan pilpres yg membawa indonesia maju jaya makmur amp berkeadilan satukan visi misi generasi anak bangsa semoga umur yg barakah,positive
hindari pemborosan anggaran pilpres putaran,neutral
mayoritas mata pencaharian rakyat petani layak tokoh nasional utk tampil memimpin bangsa,positive
mantap presiden ri partainya,positive
capreskan ketum parpol bener bertarung polarisasi media sosial berbeda dimuakkan olah kelompok yg hentinya ejekan,neutral
wacana jabatan ganjar peluang capres,neutral
pks yg isukan radikal mengusung khilafah pemilu suaranya bertambah ya,neutral
ga tampang presiden yg main pleciden pleciden doang,neutral
assalamkm mentri terhormat prihatin dgn yg edi mulyadi harapagar kpd bpk presiden memanggil edi mulyadi menyelesaikannya adat,neutral
kebalikannya duo ustadz doain presiden eh pembantu presiden,negative
pilihan anies beliau jujur kerja selesaikan kerjanya memenuhi janji kampanyenya,neutral
kondisi negara presiden gubernur aja ga gini presiden mending tau pa ga kebanyakan pencitraan muak pa suka,negative
mantul sbg menhan yg membeli rafale cina mendadak mendekati ri dukung bpk capres meneruskan amp smoga terpilih drpd anies pendukungnya gerombolan radikal puan mengandalkan trah leluhur,positive
mantap mas ahy berjuang rakyat bangsa negara izin allah karna allah presiden anies ahy semoga allah mengizinkan menang pilpres amiiiiiiin,positive
semoga elektabilitas memenangkan anies baswedan pilpres,positive
mantap jelang pilpres tingkat keterpilihan posisi teratas jelang pilpres versi lembaga survei warna research center wrc,positive
ya partai buruh dukung presiden ri,positive
biarkanlah wilayah pribadinya anies hubungannya elektabilitas capres capres anies konsisten sejalan perjuangan islaman nya,neutral
alhamdulillah allahuakbar semoga allah menangkan anis baswedan presiden ri pilpres aamiin,positive
cebok trus basuh mukakali aja wan panci presiden,negative
ha ha presidennya ludruk,negative
agama jadikan alasan mengkotak kotak kehidupan negara,neutral
janji kecuali bpk presiden,neutral
sekjen membuka opsi pasangan capres cawapres setuju wacana,neutral
goa pribadi gak pilih capress,negative
sdh pemilu hrs diundur thn khusus utk presiden krn salah satunya biaya pembelian alutusta pk dimana biaya pemilu cc,neutral
lha yg ijazahnya presiden yg ijazahnya asli ngga capres,negative
jakarta sejarah kelam pilkada terulang indonesia mencatat sejarah kelam pilpres,neutral
ganjar dukungan masyarakat pilpres contohnya blitar salah ponpes disana menggelar istighotsah mendoakan ganjar berhasil pilpres,positive
alasan doang menunda pemilu kelancaran,negative
menggaungka pan pkb golkar mengusulkan penundaan pemilu kasihan tu yg kebelet presiden dijegat partai nggak nyesek tu,negative
biar mikir ps capres abadiselamat tinggal mendukung,negative
yes pas mantap ganjar presiden,positive
buktikan pakai politik identitas radikalisme pilpres th politik kekuasan kepentingan dg mulut janji manis suarakan pecitraan kesuksesan ulangi,neutral
si bego kejebak elu tetep menang jd saran lu pas pemilu golput membiarkan surat suara lu dimanfaatkan lu pinter dgn ttp dtg tps lu bikin surat suara lu gak sah dgn lu coblos muka calon,negative
pertahanan nasionalis jebol pilpres mimpi indonesia emas tinggal kenangan pendiri bangsa menangis,neutral
gimana diundur hayo lho undur utk tambahkan thn jabatan presidenwapres amp periode,neutral
mimin dah ya dah x pilih giliran kasih kesempata yg ya mimin moga ps jdi clon presiden,positive
prabowo negarawan dukung anies pilpres gubernur dki presiden ri momentum puncak prabowo presiden ri sayang manfaatkan pendukungnya kecewa,neutral
kasih tau kadrun junjunganmu presiden hutang indonesia sdh kadrun nggak kuat biar aja yg presiden beliau kuat ok bro,negative
alhamdulillah dipimpin jakarta bebas banjir maksudnya banjir bebas pas musim kemarau semoga presiden,negative
ya gak protes emangnya tau nyapres orang psi aja gak kenal ya gk senggol,negative
yg menjelang pemilu sy pilih yg,neutral
gk prnh mnunjukn ambisi trs mlakukn krj sbgai menteri melakukn prbaikn skligus pmbersihan sllu mnempatkn sbgai ptugas presiden dgn kinerjaamp pncapaian yg calon potensial tabik,positive
lihat jalan presiden kek santuy banget bliokek jalan bapaknya aja,neutral
for president layak memimpin negeri cerdas adil amanah ayo tambahkan,positive
pokoke tulisan ganjar presiden aja udajh curi start duluaan klo bilang ganjar memperkenalkan org namanya ganjar gitu lhooo,neutral
skrg klo pmbwa surat suara kyak pilpres bnyak yg mati kelelahan krn infrastrukturnya jlek nyawa yusrilmahendra gntikan nyawa rakyat nkri gara psta dmokrasi gk ditunda korbankan nyawa rakyat sbg rakyat nyawa yusril mahendra gntinya pemilu gk ditunda brani gk,negative
indonesia dipimpin orang cerdas berwibawa adil,positive
capresx wapres yg bkn meong no debat,negative
dukungan ridwan kamil smakin semoga jd sinyal positiv maju d pilpres,positive
anehnya pendukung ganjar gak henti hentinya menjelek jelekkan anies bilang survei nya anjlok gila kelen coba,negative
ganjar calon presiden yg merakyat inovatif berwawasan luas motivator hebat pokoknya jos gandos indonesia mudahan pdip nggak paksakan puan calonkan ganjar menang,positive
diterima tawaran pokoknya tdk disisi sebelah anies kudu capres berpasangan dgn dalil berdasarkan track record data impirik,positive
sbrnya dr sisi peluang menang pasangan ganjar rkamil yg semoga partai yg mendukung pilpres smoga terbuka peluang pilpres calon independen,positive
pandaiyang presiden kadrun,neutral
irasional sdh diobral rupa makar thd konstitusi orang dgn julukan lord melewati batas yg merusak republik indonesia rakyat indonesia mendiamkan,neutral
jk matian menangkan kemenakannya jd walikota makassar x pemilihan aja gak kalah sok sokan jadiin org presiden,negative
gak pemilu mencalonkan politik identitas biang perpecahan,negative
udah jd presiden silat yg presidennya capres gagal maning,negative
andai pemilu kandidat capres lord rangga anies baswedan pilih capres nomor urut,neutral
asyik nih pendukung ganjar bangga banget semoga jalannya ganjar memenangkan pilpres mudah aamiin,positive
menang telak partainya jauhi rakyat perpanjangan jabatan presiden yg terbaru pemilu tertutup ujungnya curang,negative
beliau tanggung sbg gub jateng nunggu jd presiden yg pilpresnya ajah jalan yg kena aspal m tp sebulan bergelombang lg truk muatan galian hilir mudik ga liburnya mulusnya,negative
semoga pilpres prabowo kingmaker anies kerja ny rakyat pribumi masyarakat dki hasilny terbukti memiliki jiwa patriot kesatria merelakan nkri pimpin anak muda berkualitas kerja nyata,positive
doa semoga mewujudkan ganjar utk maju pilpres,positive
dukung ahy anies pemilu,positive
baunya restu presiden jokowi pilpres et orng yg dipercaya utk ketuai acara mas kaesang semoga sgera dpt kabar yg aamiin menteri andalan,positive
pemimpin tolol yg tujuan membangun infrastruktur presiden membangun bangsa membangun rakyatnya membangun negaranya bangun infrastruktur uang beres membangun rakyat pemimpin yg cerdas sederhana merakyat keluyuran solusi,negative
aspek kenegaraan dibenahi terpilih presiden ri periode membereskan sdm pejabat negara penegak hukum,neutral
kalo puas yaa takut aturan takut kalah pake yg gak,neutral
semoga dukungan maju pilpres,positive
alhamdulillah acara terlaksana semoga ganjar terpilih pilpres,positive
gubernur jateng yg insya allah capres th loch bro,positive
blm ajak capres ntar kena sanksi loh hihihihi,neutral
maju anies semoga jakarta yg merasakan kepemimpinan indonesia dunia,positive
sangka layak presiden wakil prank uda pesan baju batal dipanggil wapres,negative
merinding yaaa bismillah kawal pilpres politik identitas,positive
presiden bangun jalan tol dll gak khusus desa program bedah rumah gak khusus beda khusus kader partai,neutral
lolos verifikasi faktual partai ummat peserta pemilu,neutral
sabar banget ya pemimpin semoga ganjar memenangkan pilpres,positive
mui ga bs jd presiden ntarnya baptis jga ga,negative
suara halus dipilpres tampil kedepan utk memecah amp merontokan suara yg mengkhianatinya ganjar mudah menang melanjutkan program pembangunan prabowo kamikaze utk nkri,neutral
semoga dg kekuatan doa maju memenangkan pilpres menjadikan ganjar sbg presiden ri sosok pemimpin hebat negeri,positive
duet prabowo ganjar isu terhangat menjelang pilpres menariknya kode jokowi prabowo dinilai kode ganjar,neutral
semoga pemenang pilpres,positive
masya alloh semoga berjalan lancar sukses pemimpin nkri pilpres aamiin,positive
senyumin ketawain aja yg kaya gitu gak esensinya bro,neutral
konsisten visi misi pertahanan beliau debat capres ketiga pilpres,neutral
mantul iki capres yg merakyat,positive
pengangguran ngimpi presiden,negative
dana persiapan pemilu pilpres menyumbang silahkan setor kas negara,neutral
hahahhah si raja bacot anies baswedan calon presiden tiktok,negative
menetapkan visi misi amp program presiden terpilih gbhn anggaran pilpres amp pilkada dialihkan bonus partai yg calegnya melenggang senayan sbg ganti biaya kampanye yg relawan keluarkan sembako dgn sindir presiden amp,neutral
presiden ku th sosok pengganti de jokowi salam sehat beliau berdua,positive
kawula muda jateng deklarasikan dukungan ganjar sandi sape aje dahyg dampingin yg presiden nya,positive
